"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
21,"Sun","2022-01-16","20:45","Marseille",1.6,"1-1",0.7,"Lille",5034,"Orange Vélodrome","Amaury Delerue","Match Report",NA
19,"Wed","2022-01-19","19:00","Clermont Foot",0.5,"0-2",1.5,"Strasbourg",4219,"Stade Gabriel Montpied","Bastien Dechepy","Match Report",NA
20,"Wed","2022-01-19","19:00","Montpellier",0.6,"0-1",0.7,"Troyes",4943,"Stade de la Mosson","Jeremy Stinat","Match Report",NA
20,"Wed","2022-01-19","19:00","Lille",1.8,"3-1",1.3,"Lorient",4834,"Stade Pierre-Mauroy","Florent Batta","Match Report",NA
22,"Fri","2022-01-21","21:00","Lyon",2.1,"1-0",0.1,"Saint-Étienne",5000,"Groupama Stadium","Antony Gautier","Match Report",NA
22,"Sat","2022-01-22","17:00","Brest",1.2,"2-0",1.6,"Lille",4358,"Stade Francis-Le Blé","Jérôme Brisard","Match Report",NA
22,"Sat","2022-01-22","21:00","Lens",0.8,"0-2",1.4,"Marseille",5000,"Stade Bollaert-Delelis","Stéphanie Frappart","Match Report",NA
22,"Sun","2022-01-23","13:00","Metz",0.3,"0-2",2.2,"Nice",5000,"Stade Saint-Symphorien","Amaury Delerue","Match Report",NA
22,"Sun","2022-01-23","15:00","Clermont Foot",1.1,"2-1",1.5,"Rennes",4535,"Stade Gabriel Montpied","Thomas Léonard","Match Report",NA
22,"Sun","2022-01-23","15:00","Nantes",1.1,"4-2",2,"Lorient",4275,"Stade de la Beaujoire - Louis Fonteneau","Pierre Gaillouste","Match Report",NA
22,"Sun","2022-01-23","15:00","Angers",2.1,"2-1",1.6,"Troyes",5000,"Stade Raymond Kopa","Romain Lissorgue","Match Report",NA
22,"Sun","2022-01-23","15:00","Bordeaux",2,"4-3",2.5,"Strasbourg",3308,"Stade Matmut-Atlantique","Mikael Lesage","Match Report",NA
22,"Sun","2022-01-23","17:05","Montpellier",2,"3-2",1.3,"Monaco",5000,"Stade de la Mosson","Jérémie Pignard","Match Report",NA
22,"Sun","2022-01-23","20:45","Paris S-G",2.7,"4-0",0.5,"Reims",5000,"Parc des Princes","Eric Wattellier","Match Report",NA
20,"Wed","2022-01-26","19:00","Angers",0.4,"0-1",0.4,"Saint-Étienne",NA,"Stade Raymond Kopa","Clément Turpin","Match Report",NA
14,"Tue","2022-02-01","21:00","Lyon",1.5,"2-1",0.5,"Marseille",NA,"Groupama Stadium","Benoît Bastien","Match Report",NA
23,"Fri","2022-02-04","21:00","Marseille",2.5,"5-2",0.5,"Angers",60000,"Orange Vélodrome","Jeremy Stinat","Match Report",NA
23,"Sat","2022-02-05","17:00","Saint-Étienne",2.3,"3-1",0.5,"Montpellier",20000,"Stade Geoffroy-Guichard","Thomas Léonard","Match Report",NA
23,"Sat","2022-02-05","21:00","Monaco",2.1,"2-0",1.3,"Lyon",6550,"Stade Louis II.","Ruddy Buquet","Match Report",NA
23,"Sun","2022-02-06","13:00","Lorient",1.8,"2-0",0.4,"Lens",10687,"Stade Yves Allainmat - Le Moustoir","Romain Lissorgue","Match Report",NA
23,"Sun","2022-02-06","15:00","Reims",1.8,"5-0",0.1,"Bordeaux",8858,"Stade Auguste-Delaune II","Antony Gautier","Match Report",NA
23,"Sun","2022-02-06","15:00","Nice",0.7,"0-1",1.7,"Clermont Foot",18022,"Stade de Nice","Jérôme Brisard","Match Report",NA
23,"Sun","2022-02-06","15:00","Troyes",0.5,"0-0",0.4,"Metz",7227,"Stade de l'Aube","Pierre Gaillouste","Match Report",NA
23,"Sun","2022-02-06","15:00","Strasbourg",1.8,"1-0",0.4,"Nantes",22240,"Stade de la Meinau","Amaury Delerue","Match Report",NA
23,"Sun","2022-02-06","17:00","Rennes",2.7,"2-0",0.3,"Brest",25409,"Roazhon Park","Johan Hamel","Match Report",NA
23,"Sun","2022-02-06","20:45","Lille",1,"1-5",2.9,"Paris S-G",48437,"Stade Pierre-Mauroy","François Letexier","Match Report",NA
24,"Fri","2022-02-11","21:00","Paris S-G",1,"1-0",0.7,"Rennes",47000,"Parc des Princes","Benoît Bastien","Match Report",NA
24,"Sat","2022-02-12","17:00","Montpellier",1.1,"0-1",1.4,"Lille",11784,"Stade de la Mosson","Stéphanie Frappart","Match Report",NA
24,"Sat","2022-02-12","21:00","Lyon",2.7,"2-0",0.1,"Nice",41974,"Groupama Stadium","Benoît Millot","Match Report",NA
24,"Sun","2022-02-13","13:00","Monaco",0.9,"0-0",0.1,"Lorient",3963,"Stade Louis II.","Bastien Dechepy","Match Report",NA
24,"Sun","2022-02-13","15:00","Angers",0.5,"0-1",0.3,"Strasbourg",6521,"Stade Raymond Kopa","Pierre Gaillouste","Match Report",NA
24,"Sun","2022-02-13","15:00","Brest",2.7,"5-1",0.3,"Troyes",10600,"Stade Francis-Le Blé","Florent Batta","Match Report",NA
24,"Sun","2022-02-13","15:00","Nantes",0.6,"1-0",0.5,"Reims",14304,"Stade de la Beaujoire - Louis Fonteneau","Johan Hamel","Match Report",NA
