"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
1,"Fri","2021-08-06","21:00","Monaco",2,"1-1",0.3,"Nantes",7500,"Stade Louis II.","Antony Gautier","Match Report",NA
1,"Sat","2021-08-07","17:00","Lyon",1.4,"1-1",0.8,"Brest",29018,"Groupama Stadium","Mikael Lesage","Match Report",NA
1,"Sat","2021-08-07","21:00","Troyes",0.8,"1-2",1.2,"Paris S-G",15248,"Stade de l'Aube","Amaury Delerue","Match Report",NA
1,"Sun","2021-08-08","13:00","Rennes",0.6,"1-1",2,"Lens",22567,"Roazhon Park","Bastien Dechepy","Match Report",NA
1,"Sun","2021-08-08","15:00","Bordeaux",0.7,"0-2",3.3,"Clermont Foot",18748,"Stade Matmut-Atlantique","Florent Batta","Match Report",NA
1,"Sun","2021-08-08","15:00","Strasbourg",0.4,"0-2",0.9,"Angers",23250,"Stade de la Meinau","Jeremy Stinat","Match Report",NA
1,"Sun","2021-08-08","15:00","Nice",0.8,"0-0",0.2,"Reims",18030,"Stade de Nice","Johan Hamel","Match Report",NA
1,"Sun","2021-08-08","15:00","Saint-Étienne",2.1,"1-1",1.3,"Lorient",20461,"Stade Geoffroy-Guichard","Thomas Léonard","Match Report",NA
1,"Sun","2021-08-08","17:00","Metz",0.7,"3-3",1.4,"Lille",15551,"Stade Saint-Symphorien","Eric Wattellier","Match Report",NA
1,"Sun","2021-08-08","20:45","Montpellier",0.5,"2-3",2,"Marseille",13500,"Stade de la Mosson","Jérémie Pignard","Match Report",NA
2,"Fri","2021-08-13","21:00","Lorient",0.8,"1-0",0.9,"Monaco",12149,"Stade Yves Allainmat - Le Moustoir","Hakim Ben El Hadj Salem","Match Report",NA
2,"Sat","2021-08-14","17:00","Lille",1,"0-4",2.2,"Nice",30144,"Stade Pierre-Mauroy","Jérôme Brisard","Match Report",NA
2,"Sat","2021-08-14","21:00","Paris S-G",2.5,"4-2",0.6,"Strasbourg",46962,"Parc des Princes","Willy Delajod","Match Report",NA
2,"Sun","2021-08-15","13:00","Angers",1.4,"3-0",0.9,"Lyon",6154,"Stade Raymond Kopa","Clément Turpin","Match Report",NA
2,"Sun","2021-08-15","15:00","Clermont Foot",2.3,"2-0",0.5,"Troyes",11005,"Stade Gabriel Montpied","Romain Lissorgue","Match Report",NA
2,"Sun","2021-08-15","15:00","Brest",1.5,"1-1",0.9,"Rennes",14271,"Stade Francis-Le Blé","Benoît Bastien","Match Report",NA
2,"Sun","2021-08-15","15:00","Nantes",1.4,"2-0",1.1,"Metz",12054,"Stade de la Beaujoire - Louis Fonteneau","Johan Hamel","Match Report",NA
2,"Sun","2021-08-15","15:00","Reims",2.1,"3-3",2,"Montpellier",8887,"Stade Auguste-Delaune II","Jeremy Stinat","Match Report",NA
2,"Sun","2021-08-15","17:00","Lens",1.8,"2-2",1.2,"Saint-Étienne",35541,"Stade Bollaert-Delelis","Amaury Delerue","Match Report",NA
2,"Sun","2021-08-15","20:45","Marseille",1.1,"2-2",0.4,"Bordeaux",50000,"Orange Vélodrome","Ruddy Buquet","Match Report",NA
3,"Fri","2021-08-20","21:00","Brest",1.2,"2-4",1.4,"Paris S-G",14586,"Stade Francis-Le Blé","Eric Wattellier","Match Report",NA
3,"Sat","2021-08-21","17:00","Monaco",0.4,"0-2",0.7,"Lens",6483,"Stade Louis II.","Jérémie Pignard","Match Report",NA
3,"Sat","2021-08-21","21:00","Saint-Étienne",0.4,"1-1",1.2,"Lille",20673,"Stade Geoffroy-Guichard","Mikael Lesage","Match Report",NA
3,"Sun","2021-08-22","13:00","Lyon",3.8,"3-3",1.3,"Clermont Foot",34713,"Groupama Stadium","Thomas Léonard","Match Report",NA
3,"Sun","2021-08-22","15:00","Strasbourg",2.2,"1-1",1.2,"Troyes",22185,"Stade de la Meinau","Jérôme Brisard","Match Report",NA
3,"Sun","2021-08-22","15:00","Metz",0.7,"1-1",1.6,"Reims",14799,"Stade Saint-Symphorien","Florent Batta","Match Report",NA
3,"Sun","2021-08-22","15:00","Montpellier",2.8,"3-1",0.7,"Lorient",6527,"Stade de la Mosson","Bastien Dechepy","Match Report",NA
3,"Sun","2021-08-22","15:00","Bordeaux",0.7,"1-1",0.9,"Angers",18281,"Stade Matmut-Atlantique","Pierre Gaillouste","Match Report",NA
3,"Sun","2021-08-22","17:00","Rennes",0.9,"1-0",0.5,"Nantes",27569,"Roazhon Park","Stéphanie Frappart","Match Report",NA
4,"Fri","2021-08-27","21:00","Nantes",1.3,"0-1",1.7,"Lyon",23177,"Stade de la Beaujoire - Louis Fonteneau","Jérôme Brisard","Match Report",NA
4,"Sat","2021-08-28","17:00","Nice",3.1,"4-0",0.8,"Bordeaux",NA,"Stade de Nice","Jérémie Pignard","Match Report",NA
4,"Sat","2021-08-28","21:00","Marseille",2.6,"3-1",1,"Saint-Étienne",55039,"Orange Vélodrome","Benoît Millot","Match Report",NA
4,"Sun","2021-08-29","13:00","Troyes",1,"1-2",2,"Monaco",9866,"Stade de l'Aube","Johan Hamel","Match Report",NA
4,"Sun","2021-08-29","15:00","Strasbourg",1.6,"3-1",0.9,"Brest",22341,"Stade de la Meinau","Romain Lissorgue","Match Report",NA
4,"Sun","2021-08-29","15:00","Angers",2.2,"2-0",0.9,"Rennes",6473,"Stade Raymond Kopa","Antony Gautier","Match Report",NA
4,"Sun","2021-08-29","15:00","Lens",2.1,"2-2",1.7,"Lorient",35029,"Stade Bollaert-Delelis","Willy Delajod","Match Report",NA
4,"Sun","2021-08-29","15:00","Clermont Foot",1.9,"2-2",1.5,"Metz",11274,"Stade Gabriel Montpied","Hakim Ben El Hadj Salem","Match Report",NA
4,"Sun","2021-08-29","17:00","Lille",1.7,"2-1",0.6,"Montpellier",28859,"Stade Pierre-Mauroy","Amaury Delerue","Match Report",NA
4,"Sun","2021-08-29","20:45","Reims",0.6,"0-2",1.2,"Paris S-G",20525,"Stade Auguste-Delaune II","François Letexier","Match Report",NA
5,"Fri","2021-09-10","21:00","Lorient",2.3,"2-1",1.4,"Lille",10271,"Stade Yves Allainmat - Le Moustoir","Clément Turpin","Match Report",NA
5,"Sat","2021-09-11","17:00","Paris S-G",2.8,"4-0",1.2,"Clermont Foot",47329,"Parc des Princes","Mikael Lesage","Match Report",NA
5,"Sat","2021-09-11","21:00","Monaco",0.7,"0-2",1.8,"Marseille",8615,"Stade Louis II.","Stéphanie Frappart","Match Report",NA
5,"Sun","2021-09-12","13:00","Montpellier",1.2,"2-0",1,"Saint-Étienne",10402,"Stade de la Mosson","Benoît Bastien","Match Report",NA
5,"Sun","2021-09-12","15:00","Rennes",1,"0-2",0.5,"Reims",24486,"Roazhon Park","Thomas Léonard","Match Report",NA
5,"Sun","2021-09-12","15:00","Bordeaux",0.8,"2-3",2.4,"Lens",19763,"Stade Matmut-Atlantique","Luís Godinho","Match Report",NA
5,"Sun","2021-09-12","15:00","Brest",1.6,"1-1",1.3,"Angers",10982,"Stade Francis-Le Blé","Jeremy Stinat","Match Report",NA
5,"Sun","2021-09-12","15:00","Metz",1.1,"0-2",0.8,"Troyes",15269,"Stade Saint-Symphorien","Pierre Gaillouste","Match Report",NA
5,"Sun","2021-09-12","17:00","Nantes",1.6,"0-2",1.7,"Nice",14597,"Stade de la Beaujoire - Louis Fonteneau","Benoît Millot","Match Report",NA
5,"Sun","2021-09-12","20:45","Lyon",1.9,"3-1",1.8,"Strasbourg",33267,"Groupama Stadium","Ruddy Buquet","Match Report",NA
6,"Fri","2021-09-17","21:00","Strasbourg",2,"3-0",0.5,"Metz",25437,"Stade de la Meinau","Eric Wattellier","Match Report",NA
6,"Sat","2021-09-18","17:00","Lens",0.7,"1-0",0.9,"Lille",36512,"Stade Bollaert-Delelis","Benoît Millot","Match Report",NA
6,"Sat","2021-09-18","21:00","Saint-Étienne",1.4,"1-2",2,"Bordeaux",23869,"Stade Geoffroy-Guichard","Antony Gautier","Match Report",NA
6,"Sun","2021-09-19","13:00","Nice",1.9,"2-2",2.3,"Monaco",NA,"Stade de Nice","François Letexier","Match Report",NA
6,"Sun","2021-09-19","15:00","Troyes",1.1,"1-1",0.2,"Montpellier",7405,"Stade de l'Aube","Florent Batta","Match Report",NA
6,"Sun","2021-09-19","15:00","Clermont Foot",0.8,"1-1",0.5,"Brest",11224,"Stade Gabriel Montpied","Bastien Dechepy","Match Report",NA
6,"Sun","2021-09-19","15:00","Reims",1,"0-0",0.3,"Lorient",9443,"Stade Auguste-Delaune II","Hakim Ben El Hadj Salem","Match Report",NA
6,"Sun","2021-09-19","15:00","Angers",1.1,"1-4",2.1,"Nantes",9046,"Stade Raymond Kopa","Amaury Delerue","Match Report",NA
6,"Sun","2021-09-19","17:00","Marseille",2.2,"2-0",1.5,"Rennes",54188,"Orange Vélodrome","Willy Delajod","Match Report",NA
6,"Sun","2021-09-19","20:45","Paris S-G",2,"2-1",0.6,"Lyon",47611,"Parc des Princes","Clément Turpin","Match Report",NA
7,"Wed","2021-09-22","19:00","Rennes",2.4,"6-0",0.3,"Clermont Foot",24109,"Roazhon Park","Benoît Bastien","Match Report",NA
7,"Wed","2021-09-22","19:00","Nantes",1.4,"3-1",0.6,"Brest",19676,"Stade de la Beaujoire - Louis Fonteneau","Thomas Léonard","Match Report",NA
7,"Wed","2021-09-22","19:00","Lille",0.8,"2-1",1.4,"Reims",32604,"Stade Pierre-Mauroy","Johan Hamel","Match Report",NA
7,"Wed","2021-09-22","19:00","Montpellier",1.5,"3-3",1,"Bordeaux",9585,"Stade de la Mosson","Mikael Lesage","Match Report",NA
7,"Wed","2021-09-22","19:00","Monaco",1.9,"3-1",0.4,"Saint-Étienne",3579,"Stade Louis II.","Jérôme Brisard","Match Report",NA
7,"Wed","2021-09-22","21:00","Lyon",2.5,"3-1",1.2,"Troyes",29714,"Groupama Stadium","Stéphanie Frappart","Match Report",NA
7,"Wed","2021-09-22","21:00","Lens",1.4,"0-1",0.9,"Strasbourg",NA,"Stade Bollaert-Delelis","Jeremy Stinat","Match Report",NA
7,"Wed","2021-09-22","21:00","Lorient",0.5,"1-0",2.3,"Nice",10687,"Stade Yves Allainmat - Le Moustoir","Romain Lissorgue","Match Report",NA
7,"Wed","2021-09-22","21:00","Angers",0.4,"0-0",0.7,"Marseille",12458,"Stade Raymond Kopa","Ruddy Buquet","Match Report",NA
7,"Wed","2021-09-22","21:00","Metz",0.6,"1-2",1.2,"Paris S-G",2661,"Stade Saint-Symphorien","Jérémie Pignard","Match Report",NA
8,"Sat","2021-09-25","17:00","Saint-Étienne",0.5,"0-3",2.3,"Nice",19980,"Stade Geoffroy-Guichard","Amaury Delerue","Match Report",NA
8,"Sat","2021-09-25","19:00","Strasbourg",0.7,"1-2",2.6,"Lille",23762,"Stade de la Meinau","François Letexier","Match Report",NA
8,"Sat","2021-09-25","21:00","Paris S-G",2.2,"2-0",0.2,"Montpellier",47408,"Parc des Princes","Antony Gautier","Match Report",NA
8,"Sat","2021-09-25","21:00","Lyon",1.1,"1-1",0.9,"Lorient",36424,"Groupama Stadium","Bastien Dechepy","Match Report",NA
8,"Sun","2021-09-26","13:00","Bordeaux",0.7,"1-1",2.1,"Rennes",16675,"Stade Matmut-Atlantique","Hakim Ben El Hadj Salem","Match Report",NA
8,"Sun","2021-09-26","15:00","Troyes",1.2,"1-1",1.2,"Angers",6868,"Stade de l'Aube","Thomas Léonard","Match Report",NA
8,"Sun","2021-09-26","15:00","Brest",1.4,"1-2",0.6,"Metz",10398,"Stade Francis-Le Blé","Willy Delajod","Match Report",NA
8,"Sun","2021-09-26","15:00","Reims",0.7,"3-1",0.8,"Nantes",280,"Stade Auguste-Delaune II","Eric Wattellier","Match Report",NA
8,"Sun","2021-09-26","17:00","Clermont Foot",1.3,"1-3",1.3,"Monaco",11529,"Stade Gabriel Montpied","Benoît Millot","Match Report",NA
8,"Sun","2021-09-26","20:45","Marseille",1.8,"2-3",2,"Lens",50001,"Orange Vélodrome","Mikael Lesage","Match Report",NA
9,"Fri","2021-10-01","21:00","Lens",2.2,"2-0",0.2,"Reims",NA,"Stade Bollaert-Delelis","Benoît Bastien","Match Report",NA
9,"Sat","2021-10-02","17:00","Montpellier",1,"1-1",0.4,"Strasbourg",9851,"Stade de la Mosson","Hakim Ben El Hadj Salem","Match Report",NA
9,"Sat","2021-10-02","21:00","Nice",4.2,"2-1",0.5,"Brest",13503,"Stade de Nice","António Nobre","Match Report",NA
9,"Sun","2021-10-03","13:00","Rennes",0.8,"2-0",1.4,"Paris S-G",28092,"Roazhon Park","Ruddy Buquet","Match Report",NA
9,"Sun","2021-10-03","15:00","Lorient",0.4,"1-1",0.8,"Clermont Foot",12611,"Stade Yves Allainmat - Le Moustoir","Pierre Gaillouste","Match Report",NA
9,"Sun","2021-10-03","15:00","Monaco",1.4,"3-0",0.3,"Bordeaux",3667,"Stade Louis II.","Clément Turpin","Match Report",NA
9,"Sun","2021-10-03","15:00","Angers",2.2,"3-2",1.1,"Metz",3989,"Stade Raymond Kopa","Stéphanie Frappart","Match Report",NA
9,"Sun","2021-10-03","15:00","Nantes",1.5,"2-0",1.5,"Troyes",15150,"Stade de la Beaujoire - Louis Fonteneau","Jérôme Brisard","Match Report",NA
9,"Sun","2021-10-03","17:00","Lille",2.2,"2-0",0.6,"Marseille",44839,"Stade Pierre-Mauroy","Jérémie Pignard","Match Report",NA
9,"Sun","2021-10-03","20:45","Saint-Étienne",3.3,"1-1",1.3,"Lyon",33643,"Stade Geoffroy-Guichard","François Letexier","Match Report",NA
10,"Fri","2021-10-15","21:00","Paris S-G",1.9,"2-1",1.4,"Angers",47646,"Parc des Princes","Bastien Dechepy","Match Report",NA
10,"Sat","2021-10-16","17:00","Clermont Foot",0.3,"1-0",0.8,"Lille",11537,"Stade Gabriel Montpied","Eric Wattellier","Match Report",NA
10,"Sat","2021-10-16","21:00","Lyon",2.6,"2-0",0.6,"Monaco",50585,"Groupama Stadium","Amaury Delerue","Match Report",NA
10,"Sun","2021-10-17","13:00","Troyes",1.1,"1-0",0.5,"Nice",7925,"Stade de l'Aube","Johan Hamel","Match Report",NA
10,"Sun","2021-10-17","15:00","Brest",0.6,"1-1",0.8,"Reims",9693,"Stade Francis-Le Blé","Jeremy Stinat","Match Report",NA
10,"Sun","2021-10-17","15:00","Bordeaux",0.7,"1-1",1.5,"Nantes",39510,"Stade Matmut-Atlantique","Willy Delajod","Match Report",NA
10,"Sun","2021-10-17","15:00","Metz",0.9,"0-3",2.2,"Rennes",15679,"Stade Saint-Symphorien","Benoît Millot","Match Report",NA
10,"Sun","2021-10-17","15:00","Strasbourg",2.1,"5-1",1.1,"Saint-Étienne",25371,"Stade de la Meinau","Mikael Lesage","Match Report",NA
10,"Sun","2021-10-17","17:00","Montpellier",1.7,"1-0",1.3,"Lens",12474,"Stade de la Mosson","Florent Batta","Match Report",NA
10,"Sun","2021-10-17","20:45","Marseille",1.7,"4-1",2.3,"Lorient",57349,"Orange Vélodrome","Antony Gautier","Match Report",NA
11,"Fri","2021-10-22","21:00","Saint-Étienne",1.1,"2-2",0.6,"Angers",19836,"Stade Geoffroy-Guichard","Antony Gautier","Match Report",NA
11,"Sat","2021-10-23","17:00","Nantes",1,"2-1",0.7,"Clermont Foot",19968,"Stade de la Beaujoire - Louis Fonteneau","Romain Lissorgue","Match Report",NA
11,"Sat","2021-10-23","21:00","Lille",1.7,"1-1",1,"Brest",32613,"Stade Pierre-Mauroy","Clément Turpin","Match Report",NA
11,"Sun","2021-10-24","13:00","Nice",2.3,"3-2",2,"Lyon",24519,"Stade de Nice","Jérôme Brisard","Match Report",NA
11,"Sun","2021-10-24","15:00","Rennes",1.5,"1-0",0.6,"Strasbourg",27185,"Roazhon Park","Stéphanie Frappart","Match Report",NA
11,"Sun","2021-10-24","15:00","Lens",1.9,"4-1",0.6,"Metz",35673,"Stade Bollaert-Delelis","Jérémie Pignard","Match Report",NA
11,"Sun","2021-10-24","15:00","Lorient",1.7,"1-1",1.3,"Bordeaux",11678,"Stade Yves Allainmat - Le Moustoir","Thomas Léonard","Match Report",NA
11,"Sun","2021-10-24","15:00","Reims",0.7,"1-2",0.7,"Troyes",12326,"Stade Auguste-Delaune II","Pierre Gaillouste","Match Report",NA
11,"Sun","2021-10-24","17:00","Monaco",1.7,"3-1",1.1,"Montpellier",4861,"Stade Louis II.","François Letexier","Match Report",NA
11,"Sun","2021-10-24","20:45","Marseille",1,"0-0",1,"Paris S-G",65121,"Orange Vélodrome","Benoît Bastien","Match Report",NA
3,"Wed","2021-10-27","21:00","Nice",2.3,"1-1",0.8,"Marseille",NA,"Stade de l'Aube","Clément Turpin","Match Report",NA
12,"Fri","2021-10-29","21:00","Paris S-G",2.4,"2-1",2,"Lille",47874,"Parc des Princes","Amaury Delerue","Match Report",NA
