paper_id,unique_participant_id,veracity,accuracy,scale
Allen_2021,Allen_2021_1_22,true,5,7
Allen_2021,Allen_2021_1_22,true,3,7
Allen_2021,Allen_2021_1_23,true,5,7
Allen_2021,Allen_2021_1_23,true,3,7
Allen_2021,Allen_2021_1_23,fake,2,7
Allen_2021,Allen_2021_1_23,fake,2,7
Allen_2021,Allen_2021_1_23,fake,3,7
Allen_2021,Allen_2021_1_23,true,5,7
Allen_2021,Allen_2021_1_23,true,2,7
Allen_2021,Allen_2021_1_23,true,5,7
Allen_2021,Allen_2021_1_23,true,5,7
Allen_2021,Allen_2021_1_23,true,4,7
Allen_2021,Allen_2021_1_23,true,6,7
Allen_2021,Allen_2021_1_23,true,4,7
Allen_2021,Allen_2021_1_23,fake,2,7
Allen_2021,Allen_2021_1_23,true,2,7
Allen_2021,Allen_2021_1_23,true,4,7
Allen_2021,Allen_2021_1_23,true,5,7
Allen_2021,Allen_2021_1_23,true,6,7
Allen_2021,Allen_2021_1_23,true,3,7
Allen_2021,Allen_2021_1_23,true,6,7
Allen_2021,Allen_2021_1_23,fake,1,7
Allen_2021,Allen_2021_1_24,fake,1,7
Allen_2021,Allen_2021_1_24,fake,6,7
Allen_2021,Allen_2021_1_24,fake,3,7
Allen_2021,Allen_2021_1_24,true,2,7
Allen_2021,Allen_2021_1_24,true,5,7
Allen_2021,Allen_2021_1_24,true,5,7
Allen_2021,Allen_2021_1_24,fake,6,7
Allen_2021,Allen_2021_1_24,true,6,7
Allen_2021,Allen_2021_1_24,true,7,7
Allen_2021,Allen_2021_1_24,fake,7,7
Allen_2021,Allen_2021_1_24,fake,2,7
Allen_2021,Allen_2021_1_24,true,4,7
Allen_2021,Allen_2021_1_24,fake,7,7
Allen_2021,Allen_2021_1_24,true,7,7
Allen_2021,Allen_2021_1_24,true,6,7
Allen_2021,Allen_2021_1_24,fake,4,7
Allen_2021,Allen_2021_1_24,true,3,7
Allen_2021,Allen_2021_1_24,fake,3,7
Allen_2021,Allen_2021_1_24,fake,5,7
Allen_2021,Allen_2021_1_25,true,5,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,true,5,7
Allen_2021,Allen_2021_1_25,true,5,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,true,7,7
Allen_2021,Allen_2021_1_25,fake,5,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,fake,6,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,true,5,7
Allen_2021,Allen_2021_1_25,true,4,7
Allen_2021,Allen_2021_1_25,true,6,7
Allen_2021,Allen_2021_1_25,fake,6,7
Allen_2021,Allen_2021_1_25,true,4,7
Allen_2021,Allen_2021_1_25,fake,5,7
Allen_2021,Allen_2021_1_25,fake,4,7
Allen_2021,Allen_2021_1_26,fake,7,7
Allen_2021,Allen_2021_1_26,fake,6,7
Allen_2021,Allen_2021_1_26,fake,6,7
Allen_2021,Allen_2021_1_26,fake,6,7
Allen_2021,Allen_2021_1_26,fake,7,7
Allen_2021,Allen_2021_1_26,fake,6,7
Allen_2021,Allen_2021_1_26,fake,7,7
Allen_2021,Allen_2021_1_26,true,6,7
Allen_2021,Allen_2021_1_26,true,7,7
Allen_2021,Allen_2021_1_26,fake,6,7
Allen_2021,Allen_2021_1_26,true,6,7
